Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage Insurance Program Account,86-0183,FY2016-FY2017,2017,86-0183 16/17 - FHA-mutual Mortgage Insurance Program Account,$13.3M,$52.8M,25.1%
Department of Housing and Urban Development,Housing Programs,Rental Housing Assistance,86-0148,No Year,No Year,86-0148 /X - Rental Housing Assistance,$34.3M,$52.4M,65.6%
Department of Housing and Urban Development,Community Planning and Development,Self-help and Assisted Homeownership Opportunity Program,86-0176,FY2016-FY2018,2018,86-0176 16/18 - Self-help and Assisted Homeownership Opportunity Program,$0.0M,$50.0M,0.0%
Department of Housing and Urban Development,Community Planning and Development,Self-help and Assisted Homeownership Opportunity Program,86-0176,FY2017-FY2019,2019,86-0176 17/19 - Self-help and Assisted Homeownership Opportunity Program,$50.0M,$50.0M,100.0%
Department of Housing and Urban Development,Housing Programs,Project-based Rental Assistance,86-0303,FY2017-FY2018,2018,86-0303 17/18 - Project-based Rental Assistance,$4.4M,$47.6M,9.3%
Department of Housing and Urban Development,Community Planning and Development,Homeless Assistance Grants,86-0192,No Year,No Year,86-0192 /X - Homeless Assistance Grants,$18.8M,$46.3M,40.6%
Department of Housing and Urban Development,Community Planning and Development,Housing Opportunities for Persons with AIDS,86-0308,FY2017-FY2019,2019,86-0308 17/19 - Housing Opportunities for Persons with AIDS,$35.6M,$35.6M,100.0%
Department of Housing and Urban Development,Housing Programs,Emergency Homeowners' Relief Financing Account,86-4357,No Year,No Year,86-4357 /X - Emergency Homeowners' Relief Financing Account,$33.0M,$33.0M,100.0%
Department of Housing and Urban Development,Housing Programs,Housing for the Elderly,86-0320,No Year,No Year,86-0320 /X - Housing for the Elderly,$14.6M,$24.7M,59.3%
Department of Housing and Urban Development,Management and Administration,Policy Development and Research,86-0339,FY2017,2017,86-0339 /17 - Policy Development and Research,$2.8M,$24.2M,11.6%
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage and Cooperative Housing Insurance Funds Liqu,86-4070,No Year,No Year,86-4070 /X - FHA-mutual Mortgage and Cooperative Housing Insurance Funds Liqu,$5.7M,$24.1M,23.8%
Department of Housing and Urban Development,Management and Administration,Information Technology Fund,86-4586,No Year,No Year,86-4586 /X - Information Technology Fund,$4.8M,$23.8M,20.1%
Department of Housing and Urban Development,Government National Mortgage Association,Guarantees of Mortgage-backed Securities Loan Guarantee Program,86-0186,FY2017,2017,86-0186 /17 - Guarantees of Mortgage-backed Securities Loan Guarantee Program,$2.1M,$23.0M,9.3%
Department of Housing and Urban Development,Public and Indian Housing Programs,Tenant-based Rental Assistance,86-0302,FY2017-FY2020,2020,86-0302 17/20 - Tenant-based Rental Assistance,$4.2M,$21.2M,19.6%
Department of Housing and Urban Development,Housing Programs,Housing for the Elderly,86-0320,FY2014-FY2017,2017,86-0320 14/17 - Housing for the Elderly,$2.5M,$20.8M,12.1%
Department of Housing and Urban Development,Community Planning and Development,Neighborhood Stabilization Program,86-0344,No Year,No Year,86-0344 /X - Neighborhood Stabilization Program,$0.1M,$20.0M,0.3%
Department of Housing and Urban Development,Public and Indian Housing Programs,Title VI Indian Federal Guarantees Financing Account,86-4244,No Year,No Year,86-4244 /X - Title VI Indian Federal Guarantees Financing Account,$19.3M,$19.3M,100.0%
Department of Housing and Urban Development,Housing Programs,Home Ownership Preservation Entity Fund Financing Account,86-4353,No Year,No Year,86-4353 /X - Home Ownership Preservation Entity Fund Financing Account,$17.0M,$18.6M,91.2%
Department of Housing and Urban Development,Housing Programs,Project-based Rental Assistance,86-0303,FY2017-FY2020,2020,86-0303 17/20 - Project-based Rental Assistance,$1.9M,$14.9M,12.9%
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund Program Account,86-0223,No Year,No Year,86-0223 /X - Indian Housing Loan Guarantee Fund Program Account,$9.1M,$14.7M,62.2%
Department of Housing and Urban Development,Housing Programs,Housing for Persons with Disabilities,86-0237,No Year,No Year,86-0237 /X - Housing for Persons with Disabilities,$14.4M,$14.5M,99.4%
Department of Housing and Urban Development,Management and Administration,Executive Offices,86-0332,FY2017,2017,86-0332 /17 - Executive Offices,$2.4M,$14.1M,17.2%
Department of Housing and Urban Development,Housing Programs,Rent Supplemental Program,86-0129,No Year,No Year,86-0129 /X - Rent Supplemental Program,$9.6M,$13.8M,69.3%
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage Insurance Direct Loan Financing Account,86-4242,No Year,No Year,86-4242 /X - FHA-mutual Mortgage Insurance Direct Loan Financing Account,$7.2M,$13.4M,54.0%
Department of Housing and Urban Development,Housing Programs,Manufactured Housing Fees Trust Fund,86-8119,No Year,No Year,86-8119 /X - Manufactured Housing Fees Trust Fund,$4.8M,$13.4M,35.8%
Department of Housing and Urban Development,Housing Programs,Other Assisted Housing Programs (Higher Education),86-4058,No Year,No Year,86-4058 /X - Other Assisted Housing Programs (Higher Education),$12.3M,$12.3M,100.0%
Department of Housing and Urban Development,Policy Development and Research,Research and Technology,86-0108,FY2016-FY2017,2017,86-0108 16/17 - Research and Technology,$4.0M,$11.9M,33.8%
Department of Housing and Urban Development,Housing Programs,Housing for the Elderly or Handicapped Fund Liquidating Account,86-4115,No Year,No Year,86-4115 /X - Housing for the Elderly or Handicapped Fund Liquidating Account,$8.9M,$10.9M,81.3%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grants,86-0313,FY2016-FY2020,2020,86-0313 16/20 - Native American Housing Block Grants,$3.0M,$10.2M,29.6%
Department of Housing and Urban Development,Public and Indian Housing Programs,Choice Neighborhoods Initiative,86-0349,FY2015-FY2017,2017,86-0349 15/17 - Choice Neighborhoods Initiative,$0.0M,$10.0M,0.0%
Department of Housing and Urban Development,Housing Programs,Rental Housing Assistance Fund,86-4041,No Year,No Year,86-4041 /X - Rental Housing Assistance Fund,$9.9M,$9.9M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Self-help and Assisted Homeownership Opportunity Program,86-0176,No Year,No Year,86-0176 /X - Self-help and Assisted Homeownership Opportunity Program,$9.7M,$9.7M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Housing Opportunities for Persons with AIDS,86-0308,FY2016-FY2018,2018,86-0308 16/18 - Housing Opportunities for Persons with AIDS,$9.6M,$9.6M,100.0%
Department of Housing and Urban Development,Management and Administration,Office of Healthy Homes and Lead Hazard Control Personnel Compen,86-0341,FY2017,2017,86-0341 /17 - Office of Healthy Homes and Lead Hazard Control Personnel Compen,$1.8M,$8.8M,20.8%
Department of Housing and Urban Development,Housing Programs,Green Retrofit Program for Multifamily Housing Financing Account,86-4589,No Year,No Year,86-4589 /X - Green Retrofit Program for Multifamily Housing Financing Account,$7.7M,$7.9M,98.1%
Department of Housing and Urban Development,Housing Programs,Home Ownership Preservation Equity Fund Program Account,86-0343,No Year,No Year,86-0343 /X - Home Ownership Preservation Equity Fund Program Account,$7.3M,$7.3M,100.0%
Department of Housing and Urban Development,Management and Administration,Information Technology Fund,86-4586,FY2017-FY2019,2019,86-4586 17/19 - Information Technology Fund,$7.0M,$7.0M,100.0%
Department of Housing and Urban Development,Fair Housing and Equal Opportunity,Fair Housing Activities,86-0144,FY2016-FY2017,2017,86-0144 16/17 - Fair Housing Activities,$5.0M,$6.6M,76.4%
Department of Housing and Urban Development,Community Planning and Development,Home Investment Partnerships Program,86-0205,FY2015-FY2018,2018,86-0205 15/18 - Home Investment Partnerships Program,$4.8M,$6.4M,75.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund,86-0304,FY2014-FY2017,2017,86-0304 14/17 - Public Housing Capital Fund,$2.6M,$6.3M,41.7%
Department of Housing and Urban Development,Housing Programs,FHA-loan Guarantee Recovery Fund Financing Account,86-4106,No Year,No Year,86-4106 /X - FHA-loan Guarantee Recovery Fund Financing Account,$6.2M,$6.2M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grants,86-0313,No Year,No Year,86-0313 /X - Native American Housing Block Grants,$6.2M,$6.2M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund Program Account,86-0233,No Year,No Year,86-0233 /X - Native Hawaiian Housing Loan Guarantee Fund Program Account,$5.9M,$5.9M,100.0%
Department of Housing and Urban Development,Management and Administration,Community Planning and Development,86-0338,No Year,No Year,86-0338 /X - Community Planning and Development,$4.6M,$5.8M,79.0%
Department of Housing and Urban Development,Management and Administration,Salaries and Expenses,86-0143,No Year,No Year,86-0143 /X - Salaries and Expenses,$5.1M,$5.5M,92.5%
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund,86-0304,FY2015-FY2018,2018,86-0304 15/18 - Public Housing Capital Fund,$3.1M,$5.5M,56.6%
Department of Housing and Urban Development,Management and Administration,Community Planning and Development,86-0338,FY2013-FY2017,2017,86-0338 13/17 - Community Planning and Development,$5.1M,$5.1M,99.9%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund Financing Account,86-4351,No Year,No Year,86-4351 /X - Native Hawaiian Housing Loan Guarantee Fund Financing Account,$4.8M,$5.0M,95.3%
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund,86-0304,No Year,No Year,86-0304 /X - Public Housing Capital Fund,$4.3M,$4.8M,91.0%
Department of Housing and Urban Development,Community Planning and Development,Community Development Fund,86-0162,FY2015-FY2017,2017,86-0162 15/17 - Community Development Fund,$0.9M,$3.7M,23.1%
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes,Lead Hazard Reduction,86-0174,FY2016-FY2017,2017,86-0174 16/17 - Lead Hazard Reduction,$1.9M,$3.7M,51.6%
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund,86-0163,No Year,No Year,86-0163 /X - Public Housing Operating Fund,$3.0M,$3.0M,100.0%
Department of Housing and Urban Development,Management and Administration,Office of Inspector General,86-0189,FY2013-FY2017,2017,86-0189 13/17 - Office of Inspector General,$0.2M,$2.9M,5.4%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grants,86-0313,FY2015-FY2019,2019,86-0313 15/19 - Native American Housing Block Grants,$1.8M,$2.8M,66.4%
Department of Housing and Urban Development,Housing Programs,Housing for the Elderly,86-0320,FY2015-FY2018,2018,86-0320 15/18 - Housing for the Elderly,$1.2M,$2.6M,44.5%
Department of Housing and Urban Development,Community Planning and Development,Home Investment Partnerships Program,86-0205,No Year,No Year,86-0205 /X - Home Investment Partnerships Program,$2.3M,$2.5M,90.1%
Department of Housing and Urban Development,Housing Programs,Housing for Persons with Disabilities,86-0237,FY2014-FY2017,2017,86-0237 14/17 - Housing for Persons with Disabilities,$2.2M,$2.2M,100.0%
Department of Housing and Urban Development,Housing Programs,Housing Counseling Assistance,86-0156,FY2016-FY2017,2017,86-0156 16/17 - Housing Counseling Assistance,$1.3M,$2.0M,65.4%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Block Grant,86-0235,FY2017-FY2021,2021,86-0235 17/21 - Native Hawaiian Housing Block Grant,$2.0M,$2.0M,100.0%
Department of Housing and Urban Development,Policy Development and Research,Research and Technology,86-0108,No Year,No Year,86-0108 /X - Research and Technology,$1.6M,$1.6M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Tenant-based Rental Assistance,86-0302,FY2016-FY2019,2019,86-0302 16/19 - Tenant-based Rental Assistance,$0.0M,$1.6M,0.1%
Department of Housing and Urban Development,Community Planning and Development,Rural Housing and Economic Development,86-0324,No Year,No Year,86-0324 /X - Rural Housing and Economic Development,$1.4M,$1.4M,100.0%
Department of Housing and Urban Development,Housing Programs,Housing for Persons with Disabilities,86-0237,FY2015-FY2018,2018,86-0237 15/18 - Housing for Persons with Disabilities,$0.2M,$1.4M,11.5%
Department of Housing and Urban Development,Public and Indian Housing Programs,Revitalization of Severely Distressed Public Housing (HOPE VI),86-0218,No Year,No Year,86-0218 /X - Revitalization of Severely Distressed Public Housing (HOPE VI),$1.0M,$1.0M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grants,86-0313,FY2013-FY2017,2017,86-0313 13/17 - Native American Housing Block Grants,$1.0M,$1.0M,99.5%
Department of Housing and Urban Development,Housing Programs,Project-based Rental Assistance,86-0303,FY2016-FY2017,2017,86-0303 16/17 - Project-based Rental Assistance,$0.0M,$0.7M,0.0%
Department of Housing and Urban Development,Housing Programs,Project-based Rental Assistance,86-0303,FY2016-FY2019,2019,86-0303 16/19 - Project-based Rental Assistance,$0.4M,$0.4M,100.0%
Department of Housing and Urban Development,Management and Administration,Transformation Initiative,86-0402,No Year,No Year,86-0402 /X - Transformation Initiative,$0.4M,$0.4M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Block Grant,86-0235,No Year,No Year,86-0235 /X - Native Hawaiian Housing Block Grant,$0.4M,$0.4M,99.8%
Department of Housing and Urban Development,Housing Programs,Nehemiah Housing Opportunity Fund,86-4071,No Year,No Year,86-4071 /X - Nehemiah Housing Opportunity Fund,$0.3M,$0.3M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Revolving Fund (liquidating Programs),86-4015,No Year,No Year,86-4015 /X - Revolving Fund (liquidating Programs),$0.2M,$0.2M,97.1%
Department of Housing and Urban Development,Management and Administration,Office of Inspector General,86-0189,No Year,No Year,86-0189 /X - Office of Inspector General,$0.2M,$0.2M,100.0%
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes,Lead Hazard Reduction,86-0174,No Year,No Year,86-0174 /X - Lead Hazard Reduction,$0.2M,$0.2M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Housing Opportunities for Persons with AIDS,86-0308,No Year,No Year,86-0308 /X - Housing Opportunities for Persons with AIDS,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Brownfields Redevelopment,86-0314,No Year,No Year,86-0314 /X - Brownfields Redevelopment,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Empowerment Zones/enterprise Communities/renewal Communities,86-0315,No Year,No Year,86-0315 /X - Empowerment Zones/enterprise Communities/renewal Communities,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Block Grant,86-0235,FY2015-FY2019,2019,86-0235 15/19 - Native Hawaiian Housing Block Grant,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Tenant-based Rental Assistance,86-0302,FY2016-FY2017,2017,86-0302 16/17 - Tenant-based Rental Assistance,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Family Self-Sufficiency,86-0350,FY2016-FY2017,2017,86-0350 16/17 - Family Self-Sufficiency,$0.1M,$0.1M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Housing Opportunities for Persons with AIDS,86-0308,FY2015-FY2017,2017,86-0308 15/17 - Housing Opportunities for Persons with AIDS,$0.0M,$0.0M,100.0%
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees Liquidating Account,86-4097,No Year,No Year,86-4097 /X - Community Development Loan Guarantees Liquidating Account,$0.0M,$0.0M,100.0%
Department of Housing and Urban Development,Housing Programs,Homeownership and Opportunity for People Everywhere Grants (HOPE,86-0196,No Year,No Year,86-0196 /X - Homeownership and Opportunity for People Everywhere Grants (HOPE,$0.0M,$0.0M,100.0%
Department of Housing and Urban Development,Management and Administration,Gifts and Bequests,86-8093,No Year,No Year,86-8093 /X - Gifts and Bequests,$0.0M,$0.0M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Tenant-based Rental Assistance,86-0302,FY2014-FY2017,2017,86-0302 14/17 - Tenant-based Rental Assistance,$0.0M,$0.0M,6.7%
Department of Housing and Urban Development,Public and Indian Housing Programs,Prevention of Resident Displacement,86-0311,No Year,No Year,86-0311 /X - Prevention of Resident Displacement,$0.0M,$0.0M,100.0%
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grants,86-0313,FY2014-FY2018,2018,86-0313 14/18 - Native American Housing Block Grants,$0.0M,$0.0M,0.3%
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,15-0200,FY2017,2017,15-0200 /17 - Salaries and Expenses,"$1,488.9M","$9,446.3M",15.8%
Department of Justice,Federal Prison System,Salaries and Expenses,15-1060,FY2017,2017,15-1060 /17 - Salaries and Expenses,$744.8M,"$6,927.6M",10.8%
Department of Justice,Legal Activities and U.S. Marshals,Victims Compensation Fund,15-0139,No Year,No Year,15-0139 /X - Victims Compensation Fund,"$4,501.2M","$5,410.5M",83.2%
Department of Justice,Drug Enforcement Administration,Salaries and Expenses,15-1100,FY2017,2017,15-1100 /17 - Salaries and Expenses,$253.8M,"$2,568.5M",9.9%
Department of Justice,Office of Justice Programs,Crime Victims Fund,15-5041,No Year,No Year,15-5041 /X - Crime Victims Fund,"$2,165.2M","$2,292.1M",94.5%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Attorneys",15-0322,FY2017,2017,"15-0322 /17 - Salaries and Expenses, United States Attorneys",$210.6M,"$2,215.6M",9.5%
Department of Justice,Legal Activities and U.S. Marshals,Assets Forfeiture Fund,15-5042,No Year,No Year,15-5042 /X - Assets Forfeiture Fund,"$1,122.8M","$2,152.9M",52.2%
Department of Justice,General Administration,Working Capital Fund,15-4526,No Year,No Year,15-4526 /X - Working Capital Fund,$452.4M,"$2,112.1M",21.4%
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,15-0200,No Year,No Year,15-0200 /X - Salaries and Expenses,"$1,382.5M","$2,081.2M",66.4%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, General Legal Activities",15-0128,FY2017,2017,"15-0128 /17 - Salaries and Expenses, General Legal Activities",$516.3M,"$1,739.1M",29.7%
Department of Justice,Legal Activities and U.S. Marshals,United States Victims of State Sponsored Terrorism Fund,15-5608,No Year,No Year,15-5608 /X - United States Victims of State Sponsored Terrorism Fund,$573.9M,"$1,548.5M",37.1%
Department of Justice,Legal Activities and U.S. Marshals,Federal Prisoner Detention,15-1020,No Year,No Year,15-1020 /X - Federal Prisoner Detention,$220.6M,"$1,541.3M",14.3%
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Salaries and Expenses,15-0700,FY2017,2017,15-0700 /17 - Salaries and Expenses,$165.1M,"$1,410.6M",11.7%
Department of Justice,Office of Justice Programs,State and Local Law Enforcement Assistance,15-0404,No Year,No Year,15-0404 /X - State and Local Law Enforcement Assistance,"$1,219.9M","$1,344.3M",90.8%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Marshals Service",15-0324,FY2017,2017,"15-0324 /17 - Salaries and Expenses, United States Marshals Service",$126.7M,"$1,283.7M",9.9%
Department of Justice,Federal Bureau of Investigation,Construction,15-0203,No Year,No Year,15-0203 /X - Construction,$646.9M,$777.0M,83.3%
Department of Justice,Federal Prison System,"Federal Prison Industries, Incorporated",15-4500,No Year,No Year,"15-4500 /X - Federal Prison Industries, Incorporated",$201.8M,$713.3M,28.3%
Department of Justice,Federal Prison System,Buildings and Facilities,15-1003,No Year,No Year,15-1003 /X - Buildings and Facilities,$554.6M,$623.2M,89.0%
Department of Justice,Drug Enforcement Administration,Diversion Control Fee Account,15-5131,No Year,No Year,15-5131 /X - Diversion Control Fee Account,$226.4M,$593.0M,38.2%
Department of Justice,Legal Activities and U.S. Marshals,Fees and Expenses of Witnesses,15-0311,No Year,No Year,15-0311 /X - Fees and Expenses of Witnesses,$300.2M,$534.0M,56.2%
Department of Justice,Office of Justice Programs,Violence against Women Prevention and Prosecution Programs,15-0409,No Year,No Year,15-0409 /X - Violence against Women Prevention and Prosecution Programs,$412.7M,$491.0M,84.1%
Department of Justice,Office of Justice Programs,"Research, Evaluation and Statistics",15-0401,No Year,No Year,"15-0401 /X - Research, Evaluation and Statistics",$289.4M,$488.4M,59.3%
Department of Justice,Interagency Law Enforcement,Interagency Crime and Drug Enforcement,15-0323,FY2017,2017,15-0323 /17 - Interagency Crime and Drug Enforcement,$3.4M,$467.0M,0.7%
Department of Justice,Drug Enforcement Administration,Salaries and Expenses,15-1100,No Year,No Year,15-1100 /X - Salaries and Expenses,$366.2M,$455.8M,80.3%
Department of Justice,General Administration,Administrative Review and Appeals,15-0339,FY2017,2017,15-0339 /17 - Administrative Review and Appeals,$44.8M,$440.0M,10.2%
Department of Justice,Federal Prison System,"Commissary Funds, Federal Prisons (trust Revolving Fund)",15-8408,No Year,No Year,"15-8408 /X - Commissary Funds, Federal Prisons (trust Revolving Fund)",$50.4M,$367.2M,13.7%
Department of Justice,Office of Justice Programs,Juvenile Justice Programs,15-0405,No Year,No Year,15-0405 /X - Juvenile Justice Programs,$219.0M,$244.1M,89.7%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Attorneys",15-0322,No Year,No Year,"15-0322 /X - Salaries and Expenses, United States Attorneys",$93.9M,$243.8M,38.5%
Department of Justice,Legal Activities and U.S. Marshals,United States Trustee System Fund,15-5073,No Year,No Year,15-5073 /X - United States Trustee System Fund,$22.2M,$230.0M,9.6%
Department of Justice,Office of Justice Programs,Community Oriented Policing Services,15-0406,No Year,No Year,15-0406 /X - Community Oriented Policing Services,$165.7M,$202.0M,82.1%
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Salaries and Expenses,15-0700,No Year,No Year,15-0700 /X - Salaries and Expenses,$187.8M,$199.4M,94.2%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Antitrust Division",15-0319,No Year,No Year,"15-0319 /X - Salaries and Expenses, Antitrust Division",$13.2M,$178.4M,7.4%
Department of Justice,Office of Justice Programs,Public Safety Officer Benefits,15-0403,No Year,No Year,15-0403 /X - Public Safety Officer Benefits,$25.9M,$143.0M,18.1%
Department of Justice,General Administration,Salaries and Expenses,15-0129,FY2017,2017,15-0129 /17 - Salaries and Expenses,$16.8M,$141.4M,11.9%
Department of Justice,Interagency Law Enforcement,Interagency Crime and Drug Enforcement,15-0323,No Year,No Year,15-0323 /X - Interagency Crime and Drug Enforcement,$16.8M,$111.1M,15.1%
Department of Justice,Federal Prison System,Salaries and Expenses,75-15-1060,FY2017,2017,75-15-1060 /17 - Salaries and Expenses,$10.8M,$110.0M,9.8%
Department of Justice,General Administration,Office of the Inspector General,15-0328,FY2017,2017,15-0328 /17 - Office of the Inspector General,$10.3M,$108.2M,9.5%
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,15-0200,FY2017-FY2018,2018,15-0200 17/18 - Salaries and Expenses,$77.2M,$107.2M,72.0%
Department of Justice,National Security Division,Salaries and Expenses,15-1300,FY2017,2017,15-1300 /17 - Salaries and Expenses,$11.4M,$98.4M,11.6%
Department of Justice,Radiation Exposure Compensation,Radiation Exposure Compensation Trust Fund,15-8116,No Year,No Year,15-8116 /X - Radiation Exposure Compensation Trust Fund,$35.2M,$89.9M,39.1%
Department of Justice,General Administration,Justice Information Sharing Technology,15-0134,No Year,No Year,15-0134 /X - Justice Information Sharing Technology,$26.9M,$82.1M,32.7%
Department of Justice,Legal Activities and U.S. Marshals,"Justice Prisoner and Alien Transportation System Fund, U.S. Mars",15-4575,No Year,No Year,"15-4575 /X - Justice Prisoner and Alien Transportation System Fund, U.S. Mars",$33.5M,$78.9M,42.5%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Marshals Service",15-0324,No Year,No Year,"15-0324 /X - Salaries and Expenses, United States Marshals Service",$44.6M,$71.4M,62.5%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, General Legal Activities",15-0128,No Year,No Year,"15-0128 /X - Salaries and Expenses, General Legal Activities",$25.5M,$54.2M,47.2%
Department of Justice,Federal Prison System,Salaries and Expenses,15-1060,FY2016-FY2017,2017,15-1060 16/17 - Salaries and Expenses,$1.2M,$50.0M,2.3%
Department of Justice,General Administration,Office of the Inspector General,15-0328,No Year,No Year,15-0328 /X - Office of the Inspector General,$23.1M,$27.3M,84.6%
Department of Justice,Drug Enforcement Administration,Salaries and Expenses,15-1100,FY2016-FY2017,2017,15-1100 16/17 - Salaries and Expenses,$8.0M,$22.7M,35.2%
Department of Justice,Drug Enforcement Administration,Salaries and Expenses,15-1100,FY2017-FY2018,2018,15-1100 17/18 - Salaries and Expenses,$17.7M,$22.2M,79.6%
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,15-0200,FY2016-FY2017,2017,15-0200 16/17 - Salaries and Expenses,$9.3M,$20.4M,45.4%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, General Legal Activities",15-0128,FY2016-FY2017,2017,"15-0128 16/17 - Salaries and Expenses, General Legal Activities",$1.6M,$19.9M,8.1%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, General Legal Activities",15-0128,FY2017-FY2018,2018,"15-0128 17/18 - Salaries and Expenses, General Legal Activities",$5.9M,$19.7M,30.1%
Department of Justice,Office of Justice Programs,Crime Victims Fund,75-15-5041,No Year,No Year,75-15-5041 /X - Crime Victims Fund,$0.0M,$17.0M,0.1%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Community Relations Service",15-0500,FY2017,2017,"15-0500 /17 - Salaries and Expenses, Community Relations Service",$5.0M,$15.5M,32.0%
Department of Justice,General Administration,Administrative Review and Appeals,15-0339,No Year,No Year,15-0339 /X - Administrative Review and Appeals,$15.0M,$15.0M,100.0%
Department of Justice,United States Parole Commission,Salaries and Expenses,15-1061,FY2017,2017,15-1061 /17 - Salaries and Expenses,$1.6M,$13.4M,12.2%
Department of Justice,Legal Activities and U.S. Marshals,Construction,15-0133,No Year,No Year,15-0133 /X - Construction,$1.5M,$12.6M,12.0%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Attorneys",15-0322,FY2016-FY2017,2017,"15-0322 16/17 - Salaries and Expenses, United States Attorneys",$2.2M,$11.7M,19.2%
Department of Justice,National Security Division,Salaries and Expenses,15-1300,No Year,No Year,15-1300 /X - Salaries and Expenses,$1.8M,$8.4M,21.5%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Attorneys",15-0322,FY2017-FY2018,2018,"15-0322 17/18 - Salaries and Expenses, United States Attorneys",$5.8M,$8.3M,70.0%
Department of Justice,Legal Activities and U.S. Marshals,September 11th Victim Compensation (general Fund),15-0340,No Year,No Year,15-0340 /X - September 11th Victim Compensation (general Fund),$6.9M,$8.2M,83.4%
Department of Justice,Legal Activities and U.S. Marshals,Independent Counsel,15-0327,FY2017,2017,15-0327 /17 - Independent Counsel,$5.9M,$7.3M,81.1%
Department of Justice,Office of Justice Programs,State and Local Law Enforcement Assistance,15-0404,FY2017,2017,15-0404 /17 - State and Local Law Enforcement Assistance,$7.0M,$7.0M,100.0%
Department of Justice,Office of Justice Programs,Domestic Trafficking Victims' Fund,15-5606,No Year,No Year,15-5606 /X - Domestic Trafficking Victims' Fund,$5.3M,$5.7M,93.3%
Department of Justice,General Administration,Tactical Law Enforcement Wireless Communications,15-0132,No Year,No Year,15-0132 /X - Tactical Law Enforcement Wireless Communications,$2.6M,$2.6M,100.0%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Foreign Claims Settlement Commission",15-0100,FY2017,2017,"15-0100 /17 - Salaries and Expenses, Foreign Claims Settlement Commission",$0.2M,$2.4M,9.0%
Department of Justice,Federal Prison System,Salaries and Expenses,15-1060,No Year,No Year,15-1060 /X - Salaries and Expenses,$2.1M,$2.3M,89.0%
