Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of State,International Commissions,"American Sections, International Commissions",19-1082,No Year,No Year,"19-1082 /X - American Sections, International Commissions",$0.2M,$0.2M,100.0%
Department of State,Other,Democracy Fund,19-1121,FY2010-FY2015,2015,19-1121 10/15 - Democracy Fund,$0.2M,$0.2M,99.2%
Department of State,Administration of Foreign Affairs,Centralized Information Technology Modernization Program,19-0507,No Year,No Year,19-0507 /X - Centralized Information Technology Modernization Program,$0.1M,$0.1M,100.0%
Department of State,Other,Russian Far East Technical Assistance Center,19-0211,No Year,No Year,19-0211 /X - Russian Far East Technical Assistance Center,$0.1M,$0.1M,100.0%
Department of State,Other,Eastern Europe Student Exchange Endowment Fund,19-8272,No Year,No Year,19-8272 /X - Eastern Europe Student Exchange Endowment Fund,$0.1M,$0.1M,100.0%
Department of State,Administration of Foreign Affairs,Office of the Inspector General,19-0529,No Year,No Year,19-0529 /X - Office of the Inspector General,$0.0M,$0.0M,100.0%
Department of State,Administration of Foreign Affairs,Trust Funds,19-8167,No Year,No Year,19-8167 /X - Trust Funds,$0.0M,$0.0M,0.0%
Department of State,Administration of Foreign Affairs,Unconditional Gift Fund,19-8821,No Year,No Year,19-8821 /X - Unconditional Gift Fund,$0.0M,$0.0M,0.0%
Department of State,Administration of Foreign Affairs,"Conditional Gift Fund, General",19-8822,No Year,No Year,"19-8822 /X - Conditional Gift Fund, General",$0.0M,$0.0M,0.0%
Department of State,International Organizations and Conferences,International Conferences and Contingencies,19-1125,No Year,No Year,19-1125 /X - International Conferences and Contingencies,$0.0M,$0.0M,100.0%
Department of State,International Organizations and Conferences,Arrearage Payments,19-1130,No Year,No Year,19-1130 /X - Arrearage Payments,$0.0M,$0.0M,0.0%
Department of State,Other,North-South Center,19-0203,No Year,No Year,19-0203 /X - North-South Center,$0.0M,$0.0M,100.0%
Department of State,Other,Complex Crises Fund,19-72-1015,No Year,No Year,19-72-1015 /X - Complex Crises Fund,$0.0M,$0.0M,100.0%
Department of State,Other,International Narcotics Control,11-1022,No Year,No Year,11-1022 /X - International Narcotics Control,$0.0M,$0.0M,0.0%
Department of State,Other,International Narcotics Control,20-11-1022,No Year,No Year,20-11-1022 /X - International Narcotics Control,$0.0M,$0.0M,100.0%
Department of State,Other,International Narcotics Control,11-1022,FY2014-FY2015,2015,11-1022 14/15 - International Narcotics Control,$0.0M,$0.0M,0.0%
Department of State,Other,Global HIV/AIDs Initiative,11-19-1030,No Year,No Year,11-19-1030 /X - Global HIV/AIDs Initiative,$0.0M,$0.0M,22.2%
Department of State,Other,Global HIV/AIDs Initiative,97-19-1030,No Year,No Year,97-19-1030 /X - Global HIV/AIDs Initiative,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,97-19-1031,No Year,No Year,97-19-1031 /X - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,19-1031,FY2009-FY2014,2014,19-1031 09/14 - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,19-1031,FY2010-FY2015,2015,19-1031 10/15 - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,97-19-1031,FY2012-FY2016,2016,97-19-1031 12/16 - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,97-19-1031,FY2013-FY2017,2017,97-19-1031 13/17 - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,97-19-1031,FY2014-FY2018,2018,97-19-1031 14/18 - Global Health Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Andean Counterdrug Programs,72-19-1154,No Year,No Year,72-19-1154 /X - Andean Counterdrug Programs,$-0.0M,$-0.0M,100.0%
Department of State,Other,Payment to International Center for Middle Eastern-Western Dialo,19-1155,No Year,No Year,19-1155 /X - Payment to International Center for Middle Eastern-Western Dialo,$0.0M,$0.0M,0.0%
Department of State,Other,U.S. Bilateral Science and Technology Agreements,19-1151,No Year,No Year,19-1151 /X - U.S. Bilateral Science and Technology Agreements,$0.0M,$0.0M,0.0%
Department of State,Other,American Studies Endowment Fund,19-8166,No Year,No Year,19-8166 /X - American Studies Endowment Fund,$0.0M,$0.0M,100.0%
Department of State,Other,Israeli Arab Scholarship Programs,19-8271,No Year,No Year,19-8271 /X - Israeli Arab Scholarship Programs,$0.0M,$0.0M,0.0%
Department of State,Other,Global Health Programs,19-1031,FY2011-FY2016,2016,19-1031 11/16 - Global Health Programs,$-1.2M,$-1.2M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,69-69-8083,No Year,No Year,69-69-8083 /X - Federal-aid Highways,"$20,568.7M","$52,682.5M",39.0%
Department of Transportation,Federal Transit Administration,Formula and Bus Grants,69-8350,No Year,No Year,69-8350 /X - Formula and Bus Grants,"$9,277.5M","$18,816.8M",49.3%
Department of Transportation,Federal Aviation Administration,Operations,69-1301,FY2014,2014,69-1301 /14 - Operations,"$1,035.7M","$9,799.1M",10.6%
Department of Transportation,Federal Transit Administration,Public Transportation Emergency Relief Program,69-1140,No Year,No Year,69-1140 /X - Public Transportation Emergency Relief Program,"$8,458.3M","$9,582.9M",88.3%
Department of Transportation,Federal Highway Administration,Transportation Infrastructure Finance and Innovation Program Dir,69-4123,No Year,No Year,69-4123 /X - Transportation Infrastructure Finance and Innovation Program Dir,"$1,661.4M","$8,467.6M",19.6%
Department of Transportation,Federal Transit Administration,Capital Investment Grants,69-1134,No Year,No Year,69-1134 /X - Capital Investment Grants,"$1,771.8M","$3,566.8M",49.7%
Department of Transportation,Federal Aviation Administration,Grants-in-aid for Airports (Airport and Airway Trust Fund),69-8106,No Year,No Year,69-8106 /X - Grants-in-aid for Airports (Airport and Airway Trust Fund),"$1,870.8M","$3,506.8M",53.3%
Department of Transportation,Federal Aviation Administration,Aviation Insurance Revolving Fund,69-4120,No Year,No Year,69-4120 /X - Aviation Insurance Revolving Fund,"$2,166.4M","$2,180.3M",99.4%
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),69-8107,FY2014-FY2016,2016,69-8107 14/16 - Facilities and Equipment (Airport and Airway Trust Fund),"$1,107.9M","$2,166.4M",51.1%
Department of Transportation,Federal Highway Administration,Emergency Relief Program,69-0500,No Year,No Year,69-0500 /X - Emergency Relief Program,"$1,026.9M","$1,833.3M",56.0%
Department of Transportation,Federal Railroad Administration,Capital and Debt Service Grants to the National Railroad Passeng,69-0125,No Year,No Year,69-0125 /X - Capital and Debt Service Grants to the National Railroad Passeng,$36.3M,"$1,076.6M",3.4%
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),69-8107,FY2013-FY2015,2015,69-8107 13/15 - Facilities and Equipment (Airport and Airway Trust Fund),$260.6M,$811.9M,32.1%
Department of Transportation,National Highway Traffic Safety Administration,Highway Traffic Safety Grants,69-69-8020,No Year,No Year,69-69-8020 /X - Highway Traffic Safety Grants,$35.0M,$688.7M,5.1%
Department of Transportation,Federal Aviation Administration,Administrative Services Franchise Fund,69-4562,No Year,No Year,69-4562 /X - Administrative Services Franchise Fund,$257.1M,$653.9M,39.3%
Department of Transportation,Office of the Secretary,National Infrastructure Investments,69-0143,FY2014-FY2016,2016,69-0143 14/16 - National Infrastructure Investments,$600.0M,$600.0M,100.0%
Department of Transportation,Office of the Secretary,"Working Capital Fund, Volpe National Transportation Systems Cent",69-4522,No Year,No Year,"69-4522 /X - Working Capital Fund, Volpe National Transportation Systems Cent",$280.1M,$584.3M,47.9%
Department of Transportation,Office of the Secretary,Working Capital Fund,69-4520,No Year,No Year,69-4520 /X - Working Capital Fund,$203.9M,$570.2M,35.8%
Department of Transportation,Maritime Administration,Ready Reserve Force,69-1710,No Year,No Year,69-1710 /X - Ready Reserve Force,$181.5M,$510.4M,35.6%
Department of Transportation,Office of the Secretary,National Infrastructure Investments,69-0143,FY2013-FY2014,2014,69-0143 13/14 - National Infrastructure Investments,$104.0M,$473.4M,22.0%
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),69-8107,FY2014,2014,69-8107 /14 - Facilities and Equipment (Airport and Airway Trust Fund),$47.5M,$450.2M,10.6%
Department of Transportation,Federal Highway Administration,Surface Transportation Projects,69-0505,No Year,No Year,69-0505 /X - Surface Transportation Projects,$4.2M,$393.6M,1.1%
Department of Transportation,Federal Railroad Administration,Operating Subsidy Grants to the National Railroad Passenger Corp,69-0121,No Year,No Year,69-0121 /X - Operating Subsidy Grants to the National Railroad Passenger Corp,$0.0M,$340.0M,0.0%
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety Grants,69-8158,No Year,No Year,69-8158 /X - Motor Carrier Safety Grants,$67.7M,$313.0M,21.6%
Department of Transportation,Federal Transit Administration,Washington Metropolitan Area Transit Authority,69-1128,No Year,No Year,69-1128 /X - Washington Metropolitan Area Transit Authority,$160.5M,$302.7M,53.0%
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety Operations and Programs,69-8159,No Year,No Year,69-8159 /X - Motor Carrier Safety Operations and Programs,$50.2M,$285.0M,17.6%
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),69-8107,FY2012-FY2014,2014,69-8107 12/14 - Facilities and Equipment (Airport and Airway Trust Fund),$57.3M,$257.0M,22.3%
Department of Transportation,Federal Railroad Administration,Capital Assistance for High Speed Rail Corridors and Intercity P,69-0719,No Year,No Year,69-0719 /X - Capital Assistance for High Speed Rail Corridors and Intercity P,$227.8M,$254.4M,89.6%
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (title XI) Financing Account,69-4304,No Year,No Year,69-4304 /X - Maritime Guaranteed Loan (title XI) Financing Account,$221.1M,$222.0M,99.6%
Department of Transportation,Federal Transit Administration,Transit Research,69-1137,No Year,No Year,69-1137 /X - Transit Research,$180.7M,$187.4M,96.5%
Department of Transportation,Maritime Administration,Maritime Security Program,69-1711,No Year,No Year,69-1711 /X - Maritime Security Program,$0.1M,$186.1M,0.1%
Department of Transportation,Federal Railroad Administration,Safety and Operations,69-0700,FY2014,2014,69-0700 /14 - Safety and Operations,$23.9M,$176.1M,13.6%
Department of Transportation,Office of the Secretary,Payments to Air Carriers,69-8304,No Year,No Year,69-8304 /X - Payments to Air Carriers,$14.1M,$172.4M,8.2%
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research (Highway Trust Fund),69-8016,No Year,No Year,69-8016 /X - Operations and Research (Highway Trust Fund),$73.4M,$170.5M,43.1%
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),69-8107,No Year,No Year,69-8107 /X - Facilities and Equipment (Airport and Airway Trust Fund),$119.9M,$164.7M,72.8%
Department of Transportation,Federal Aviation Administration,"Research, Engineering and Development (Airport and Airway Trust",69-8108,FY2014-FY2016,2016,"69-8108 14/16 - Research, Engineering and Development (Airport and Airway Trust",$78.1M,$161.2M,48.4%
Department of Transportation,Maritime Administration,Operations and Training,69-1750,FY2014,2014,69-1750 /14 - Operations and Training,$31.0M,$132.3M,23.5%
Department of Transportation,Office of the Secretary,Essential Air Service and Rural Airport Improvement Fund,69-5423,No Year,No Year,69-5423 /X - Essential Air Service and Rural Airport Improvement Fund,$44.7M,$123.4M,36.2%
Department of Transportation,Federal Transit Administration,Formula Grants,69-69-1129,No Year,No Year,69-69-1129 /X - Formula Grants,$94.0M,$122.2M,76.9%
Department of Transportation,Office of the Secretary,Salaries and Expenses,69-0102,FY2014,2014,69-0102 /14 - Salaries and Expenses,$22.0M,$115.1M,19.1%
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research,69-0650,FY2014,2014,69-0650 /14 - Operations and Research,$14.7M,$114.0M,12.9%
Department of Transportation,Federal Transit Administration,Administrative Expenses,69-1120,FY2014,2014,69-1120 /14 - Administrative Expenses,$14.9M,$106.3M,14.0%
Department of Transportation,Maritime Administration,Operations and Training,69-1750,No Year,No Year,69-1750 /X - Operations and Training,$87.6M,$102.4M,85.6%
Department of Transportation,Federal Aviation Administration,Operations,69-1301,No Year,No Year,69-1301 /X - Operations,$78.7M,$98.4M,79.9%
Department of Transportation,Maritime Administration,Vessel Operations Revolving Fund,69-4303,No Year,No Year,69-4303 /X - Vessel Operations Revolving Fund,$82.0M,$96.5M,85.0%
Department of Transportation,Maritime Administration,Ocean Freight Differential,69-1751,No Year,No Year,69-1751 /X - Ocean Freight Differential,$92.9M,$92.9M,100.0%
Department of Transportation,Office of Inspector General,Salaries and Expenses,69-0130,FY2014,2014,69-0130 /14 - Salaries and Expenses,$9.8M,$86.1M,11.3%
Department of Transportation,Federal Highway Administration,FY 2001 Miscellaneous Highway Projects,69-69-8058,No Year,No Year,69-69-8058 /X - FY 2001 Miscellaneous Highway Projects,$76.4M,$84.0M,91.0%
Department of Transportation,Federal Railroad Administration,Grants to the National Railroad Passenger Corporation,69-0704,No Year,No Year,69-0704 /X - Grants to the National Railroad Passenger Corporation,$83.6M,$83.8M,99.8%
Department of Transportation,Maritime Administration,Ready Reserve Force,69-1710,FY2014,2014,69-1710 /14 - Ready Reserve Force,$43.7M,$80.0M,54.6%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,69-5172,FY2014-FY2016,2016,69-5172 14/16 - Pipeline Safety,$68.3M,$73.5M,92.9%
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (title XI) Program Account,69-1752,No Year,No Year,69-1752 /X - Maritime Guaranteed Loan (title XI) Program Account,$73.1M,$73.1M,100.0%
Department of Transportation,Federal Highway Administration,Appalachian Development Highway System,69-0640,No Year,No Year,69-0640 /X - Appalachian Development Highway System,$62.6M,$62.9M,99.5%
Department of Transportation,Federal Railroad Administration,Railroad Rehabilitation and Improvement Direct Loan Financing Ac,69-4420,No Year,No Year,69-4420 /X - Railroad Rehabilitation and Improvement Direct Loan Financing Ac,$61.4M,$61.4M,100.0%
Department of Transportation,Federal Railroad Administration,Railroad Research and Development,69-0745,No Year,No Year,69-0745 /X - Railroad Research and Development,$22.1M,$58.0M,38.0%
Department of Transportation,Federal Highway Administration,Advances from Federal and State Cooperating Agencies,69-8054,No Year,No Year,69-8054 /X - Advances from Federal and State Cooperating Agencies,$37.1M,$49.7M,74.6%
Department of Transportation,Federal Aviation Administration,"Research, Engineering and Development (Airport and Airway Trust",69-8108,FY2013-FY2015,2015,"69-8108 13/15 - Research, Engineering and Development (Airport and Airway Trust",$21.5M,$48.6M,44.3%
Department of Transportation,Saint Lawrence Seaway Development Corporation,Saint Lawrence Seaway Development Corporation,69-4089,No Year,No Year,69-4089 /X - Saint Lawrence Seaway Development Corporation,$29.0M,$48.6M,59.7%
Department of Transportation,Maritime Administration,War Risk Insurance Revolving Fund,69-4302,No Year,No Year,69-4302 /X - War Risk Insurance Revolving Fund,$47.8M,$47.8M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,69-5172,FY2014,2014,69-5172 /14 - Pipeline Safety,$7.1M,$46.1M,15.5%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,69-1401,FY2014,2014,69-1401 /14 - Hazardous Materials Safety,$8.8M,$44.3M,19.9%
Department of Transportation,Maritime Administration,Port of Guam Improvement Enterprise Fund,69-5560,No Year,No Year,69-5560 /X - Port of Guam Improvement Enterprise Fund,$8.8M,$42.6M,20.6%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,12-69-8083,No Year,No Year,12-69-8083 /X - Federal-aid Highways,$24.4M,$38.4M,63.4%
Department of Transportation,Federal Railroad Administration,Safety and Operations,69-0700,No Year,No Year,69-0700 /X - Safety and Operations,$15.5M,$31.9M,48.4%
Department of Transportation,Saint Lawrence Seaway Development Corporation,Operations and Maintenance,69-8003,No Year,No Year,69-8003 /X - Operations and Maintenance,$4.0M,$31.0M,12.9%
Department of Transportation,Surface Transportation Board,Salaries and Expenses,69-0301,FY2014,2014,69-0301 /14 - Salaries and Expenses,$5.7M,$31.0M,18.3%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,69-5172,FY2013-FY2015,2015,69-5172 13/15 - Pipeline Safety,$14.5M,$28.8M,50.2%
Department of Transportation,Office of the Secretary,Salaries and Expenses,69-0102,No Year,No Year,69-0102 /X - Salaries and Expenses,$17.2M,$28.7M,60.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Emergency Preparedness Grants,69-5282,No Year,No Year,69-5282 /X - Emergency Preparedness Grants,$19.6M,$26.1M,74.8%
Department of Transportation,Federal Railroad Administration,Rail Line Relocation and Improvement Program,69-0716,No Year,No Year,69-0716 /X - Rail Line Relocation and Improvement Program,$15.4M,$24.0M,64.2%
Department of Transportation,Office of the Secretary,Research and Technology,69-1730,No Year,No Year,69-1730 /X - Research and Technology,$18.1M,$23.4M,77.5%
Department of Transportation,Federal Transit Administration,"Discretionary Grants (Highway Trust Fund, Mass Transit Account)",69-8191,No Year,No Year,"69-8191 /X - Discretionary Grants (Highway Trust Fund, Mass Transit Account)",$16.9M,$22.4M,75.3%
Department of Transportation,Federal Highway Administration,FY 2001 Miscellaneous Highway Projects,69-69-0641,No Year,No Year,69-69-0641 /X - FY 2001 Miscellaneous Highway Projects,$21.7M,$21.8M,99.5%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Operational Expenses,69-1400,FY2014,2014,69-1400 /14 - Operational Expenses,$6.2M,$21.2M,29.2%
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research,69-0650,FY2014-FY2015,2015,69-0650 14/15 - Operations and Research,$15.5M,$21.0M,73.9%
Department of Transportation,National Highway Traffic Safety Administration,Consumer Assistance to Recycle and Save Program,69-0654,No Year,No Year,69-0654 /X - Consumer Assistance to Recycle and Save Program,$20.5M,$20.5M,100.0%
Department of Transportation,Federal Railroad Administration,Intercity Passenger Rail Grant Program,69-0715,No Year,No Year,69-0715 /X - Intercity Passenger Rail Grant Program,$18.6M,$18.6M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Trust Fund Share of Pipeline Safety,69-8121,FY2014-FY2016,2016,69-8121 14/16 - Trust Fund Share of Pipeline Safety,$0.0M,$18.6M,0.0%
Department of Transportation,Federal Transit Administration,Job Access and Reverse Commute Grants,69-1125,No Year,No Year,69-1125 /X - Job Access and Reverse Commute Grants,$16.6M,$17.3M,96.4%
Department of Transportation,Office of the Secretary,"Transportation Planning, Research, and Development",69-0142,No Year,No Year,"69-0142 /X - Transportation Planning, Research, and Development",$9.9M,$17.3M,57.4%
Department of Transportation,Federal Aviation Administration,"Research, Engineering and Development (Airport and Airway Trust",69-8108,FY2012-FY2014,2014,"69-8108 12/14 - Research, Engineering and Development (Airport and Airway Trust",$5.2M,$16.5M,31.7%
Department of Transportation,Office of the Secretary,Research and Technology,69-1730,FY2014,2014,69-1730 /14 - Research and Technology,$8.6M,$16.5M,52.1%
Department of Transportation,Maritime Administration,Ship Disposal,69-1768,No Year,No Year,69-1768 /X - Ship Disposal,$5.8M,$14.8M,38.9%
Department of Transportation,Federal Highway Administration,Emergency Relief Program,12-69-0500,No Year,No Year,12-69-0500 /X - Emergency Relief Program,$10.0M,$14.3M,70.3%
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety Program,69-8048,No Year,No Year,69-8048 /X - Motor Carrier Safety Program,$13.0M,$13.0M,100.0%
Department of Transportation,Federal Highway Administration,Emergency Relief Program,14-69-0500,No Year,No Year,14-69-0500 /X - Emergency Relief Program,$8.7M,$10.2M,84.8%
Department of Transportation,Office of the Secretary,Office of Civil Rights,69-0118,FY2014,2014,69-0118 /14 - Office of Civil Rights,$2.0M,$9.6M,21.3%
Department of Transportation,Federal Railroad Administration,Next Generation High Speed Rail,69-0722,No Year,No Year,69-0722 /X - Next Generation High Speed Rail,$9.0M,$9.0M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,96-69-8083,No Year,No Year,96-69-8083 /X - Federal-aid Highways,$-0.3M,$8.5M,-4.1%
Department of Transportation,Office of the Secretary,Cyber Security Initiatives,69-0159,FY2013-FY2014,2014,69-0159 13/14 - Cyber Security Initiatives,$3.4M,$8.4M,40.5%
Department of Transportation,Office of the Secretary,Financial Management Capital,69-0116,No Year,No Year,69-0116 /X - Financial Management Capital,$3.7M,$8.2M,44.5%
Department of Transportation,Office of the Secretary,Research and Technology,69-1730,FY2014-FY2016,2016,69-1730 14/16 - Research and Technology,$5.5M,$8.2M,66.7%
Department of Transportation,Federal Highway Administration,Arkansas I-69 Connector,69-0644,No Year,No Year,69-0644 /X - Arkansas I-69 Connector,$7.7M,$7.7M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,20-69-8083,No Year,No Year,20-69-8083 /X - Federal-aid Highways,$6.5M,$7.5M,86.3%
Department of Transportation,Office of the Secretary,Minority Business Outreach,69-0119,No Year,No Year,69-0119 /X - Minority Business Outreach,$6.5M,$7.2M,90.7%
Department of Transportation,Office of the Secretary,Financial Management Capital,69-0116,FY2014-FY2015,2015,69-0116 14/15 - Financial Management Capital,$0.1M,$7.0M,1.0%
Department of Transportation,Office of Inspector General,Salaries and Expenses,69-0130,No Year,No Year,69-0130 /X - Salaries and Expenses,$6.9M,$6.9M,99.9%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,69-5172,FY2012-FY2014,2014,69-5172 12/14 - Pipeline Safety,$5.4M,$6.8M,79.4%
Department of Transportation,Federal Highway Administration,Highway Demonstration Project,69-0598,No Year,No Year,69-0598 /X - Highway Demonstration Project,$3.5M,$6.3M,55.9%
Department of Transportation,Federal Highway Administration,Highway Projects,69-8382,No Year,No Year,69-8382 /X - Highway Projects,$4.1M,$5.8M,70.6%
Department of Transportation,Federal Highway Administration,International Highway Transportation Outreach Program,69-8371,No Year,No Year,69-8371 /X - International Highway Transportation Outreach Program,$2.4M,$5.7M,41.8%
Department of Transportation,Federal Highway Administration,Interstate Transfer Grants - Highway,69-0560,No Year,No Year,69-0560 /X - Interstate Transfer Grants - Highway,$5.2M,$5.2M,100.0%
Department of Transportation,Federal Transit Administration,Technical Assistance and Training,69-1142,No Year,No Year,69-1142 /X - Technical Assistance and Training,$5.0M,$5.0M,100.0%
Department of Transportation,Office of the Secretary,Cyber Security Initiatives,69-0159,FY2014-FY2015,2015,69-0159 14/15 - Cyber Security Initiatives,$4.3M,$4.5M,97.6%
Department of Transportation,Federal Highway Administration,"Cooperative Work, Forest Highways",69-8265,No Year,No Year,"69-8265 /X - Cooperative Work, Forest Highways",$3.2M,$4.2M,75.2%
Department of Transportation,National Highway Traffic Safety Administration,Operations and Research,69-0650,FY2013-FY2014,2014,69-0650 13/14 - Operations and Research,$2.7M,$4.1M,66.6%
Department of Transportation,Federal Aviation Administration,Aviation User Fees,69-5422,No Year,No Year,69-5422 /X - Aviation User Fees,$3.0M,$3.6M,83.4%
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (title XI) Program Account,69-1752,FY2014,2014,69-1752 /14 - Maritime Guaranteed Loan (title XI) Program Account,$0.0M,$3.5M,0.0%
Department of Transportation,Federal Highway Administration,Appalachian Development Highway System (Highway Trust Fund),69-8072,No Year,No Year,69-8072 /X - Appalachian Development Highway System (Highway Trust Fund),$3.4M,$3.4M,100.0%
Department of Transportation,Maritime Administration,Gifts and Bequests,69-8503,No Year,No Year,69-8503 /X - Gifts and Bequests,$2.6M,$3.3M,80.4%
Department of Transportation,Federal Highway Administration,Delta Regional Transportation Development Program,69-0551,No Year,No Year,69-0551 /X - Delta Regional Transportation Development Program,$2.8M,$3.2M,89.9%
Department of Transportation,Office of the Secretary,Minority Business Outreach,69-0119,FY2014-FY2015,2015,69-0119 14/15 - Minority Business Outreach,$1.7M,$3.1M,54.8%
Department of Transportation,Federal Highway Administration,Highway Demonstration Project - Preliminary Engineering,69-0583,No Year,No Year,69-0583 /X - Highway Demonstration Project - Preliminary Engineering,$2.8M,$3.0M,93.3%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,69-1401,FY2014-FY2016,2016,69-1401 14/16 - Hazardous Materials Safety,$2.8M,$2.8M,100.0%
Department of Transportation,Federal Highway Administration,Right-of-way Revolving Fund Liquidating Account,69-8402,No Year,No Year,69-8402 /X - Right-of-way Revolving Fund Liquidating Account,$2.7M,$2.7M,100.0%
Department of Transportation,Federal Transit Administration,Interstate Transfer Grants-transit,69-1127,No Year,No Year,69-1127 /X - Interstate Transfer Grants-transit,$2.7M,$2.7M,100.0%
Department of Transportation,Federal Highway Administration,Railroad-highway Crossings Demonstration Projects,69-0557,No Year,No Year,69-0557 /X - Railroad-highway Crossings Demonstration Projects,$2.6M,$2.6M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,69-1401,FY2012-FY2014,2014,69-1401 12/14 - Hazardous Materials Safety,$1.3M,$2.5M,52.6%
Department of Transportation,Maritime Administration,Operations and Training,69-1750,FY2014-FY2015,2015,69-1750 14/15 - Operations and Training,$2.4M,$2.4M,100.0%
Department of Transportation,Federal Highway Administration,Intermodal Urban Demonstration Project,69-8001,No Year,No Year,69-8001 /X - Intermodal Urban Demonstration Project,$2.3M,$2.3M,100.0%
Department of Transportation,Federal Highway Administration,Contributions for Highway Research Program,69-8264,No Year,No Year,69-8264 /X - Contributions for Highway Research Program,$1.8M,$2.2M,83.6%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,69-1401,FY2013-FY2015,2015,69-1401 13/15 - Hazardous Materials Safety,$2.1M,$2.1M,100.0%
Department of Transportation,Federal Highway Administration,"TIFIA General Fund Direct Loan Financing Account, Federal Highwa",69-4348,No Year,No Year,"69-4348 /X - TIFIA General Fund Direct Loan Financing Account, Federal Highwa",$2.0M,$2.0M,100.0%
Department of Transportation,Federal Highway Administration,Darian Gap Highway,69-0553,No Year,No Year,69-0553 /X - Darian Gap Highway,$2.0M,$2.0M,100.0%
Department of Transportation,Federal Railroad Administration,Emergency Railroad Rehabilitation and Repair,69-0124,No Year,No Year,69-0124 /X - Emergency Railroad Rehabilitation and Repair,$1.8M,$2.0M,89.4%
Department of Transportation,Federal Aviation Administration,"Research, Engineering and Development (Airport and Airway Trust",69-8108,No Year,No Year,"69-8108 /X - Research, Engineering and Development (Airport and Airway Trust",$1.7M,$1.8M,98.6%
Department of Transportation,Office of the Secretary,New Headquarters Building,69-0147,No Year,No Year,69-0147 /X - New Headquarters Building,$0.5M,$1.8M,27.3%
Department of Transportation,Federal Highway Administration,Pennsylvania Reconstruction Demonstration Project,69-0532,No Year,No Year,69-0532 /X - Pennsylvania Reconstruction Demonstration Project,$0.0M,$1.7M,0.0%
Department of Transportation,Maritime Administration,"Miscellaneous Trust Funds, Maritime Administration",69-8547,No Year,No Year,"69-8547 /X - Miscellaneous Trust Funds, Maritime Administration",$1.6M,$1.7M,91.8%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,17-69-8083,No Year,No Year,17-69-8083 /X - Federal-aid Highways,$1.5M,$1.6M,93.0%
Department of Transportation,Federal Highway Administration,State Infrastructure Banks,69-0549,No Year,No Year,69-0549 /X - State Infrastructure Banks,$1.4M,$1.4M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,46-69-8083,No Year,No Year,46-69-8083 /X - Federal-aid Highways,$0.4M,$1.4M,27.7%
Department of Transportation,Federal Highway Administration,Corridor Safety Improvement Project,69-8120,No Year,No Year,69-8120 /X - Corridor Safety Improvement Project,$1.4M,$1.4M,100.0%
